t,phase,bw_mbps,rtt_ms,loss,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol
0,good,80.000,15.000,0.00050,0.350,256.0,160.0,edge1:low,35.166,1.31501,73.416,0
1,good,80.666,15.272,0.00050,0.350,256.0,160.0,edge1:low,35.166,1.31808,73.416,0
2,good,81.329,15.542,0.00050,0.350,256.0,160.0,edge1:low,35.166,1.32737,73.416,0
3,good,81.987,15.808,0.00050,0.350,256.0,160.0,edge1:low,35.166,1.32737,73.416,0
4,good,82.635,16.067,0.00050,0.350,256.0,160.0,edge1:low,35.166,1.28895,73.416,0
5,good,83.272,16.317,0.00050,0.350,256.0,160.0,edge1:low,35.268,1.28895,73.518,0
6,good,83.894,16.556,0.00050,0.350,256.0,160.0,cloud1:low,94.512,1.12783,136.348,0
7,good,84.499,16.783,0.00050,0.350,256.0,160.0,edge1:high,21.763,2.04536,51.445,0
8,good,85.084,16.995,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.31488,67.383,0
9,good,85.646,17.190,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.25699,67.383,0
10,good,86.184,17.367,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.25699,67.383,0
11,good,86.693,17.524,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
12,good,87.174,17.661,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
13,good,87.622,17.776,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
14,good,88.036,17.868,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
15,good,88.415,17.936,0.00050,0.350,256.0,160.0,edge1:med,21.306,1.31177,51.907,0
16,good,88.756,17.980,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
17,good,89.058,17.999,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
18,good,89.320,17.994,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
19,good,89.541,17.963,0.00050,0.350,256.0,160.0,cloud1:low,87.802,1.03736,129.638,0
20,good,89.719,17.909,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
21,good,89.854,17.830,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
22,good,89.946,17.728,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
23,good,89.993,17.603,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
24,good,89.996,17.457,0.00050,0.350,256.0,160.0,cloud1:low,87.802,1.03736,129.638,0
25,good,89.954,17.291,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
26,good,89.868,17.105,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
27,good,89.738,16.903,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
28,good,89.565,16.684,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18556,67.383,0
29,good,89.350,16.452,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
30,good,89.093,16.208,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
31,good,88.796,15.953,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.14912,67.383,0
32,good,88.459,15.691,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
33,good,88.085,15.423,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.18059,67.383,0
34,good,87.675,15.152,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.16823,67.383,0
35,good,87.231,14.879,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.16823,67.383,0
36,good,86.755,14.608,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.16823,67.383,0
37,good,86.248,14.339,0.00050,0.350,256.0,160.0,edge1:med,21.306,1.38293,51.907,0
38,good,85.714,14.076,0.00050,0.350,256.0,160.0,edge1:low,29.133,1.24463,67.383,0
39,good,85.155,13.821,0.00050,0.350,256.0,160.0,edge1:low,29.005,1.30252,67.255,0
40,good,84.573,13.576,0.00050,0.350,256.0,160.0,edge1:low,29.544,1.30252,67.794,0
41,good,83.970,13.342,0.00050,0.350,256.0,160.0,edge1:low,33.268,1.27660,71.518,0
42,good,83.350,13.122,0.00050,0.350,256.0,160.0,edge1:low,33.268,1.27660,71.518,0
43,good,82.715,12.917,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.27660,71.416,0
44,good,82.068,12.730,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.24028,71.416,0
45,good,81.411,12.561,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.31501,71.416,0
46,good,80.749,12.412,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.31501,71.416,0
47,good,80.083,12.285,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.31501,71.416,0
48,good,79.416,12.181,0.00050,0.350,256.0,160.0,edge1:low,33.166,1.31501,71.416,0
