tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,edge1:med,111.555,6.77839,119.780,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,edge1:low,141.944,5.99711,151.140,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,edge1:low,141.944,6.03225,151.140,0,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,edge1:low,144.841,6.03225,154.037,0,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,342.222,20.14496,350.447,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,edge1:med,342.222,20.03003,350.447,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,342.222,20.06908,350.447,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,342.222,20.06908,350.447,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,edge1:med,1470.559,76.72647,1478.784,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,edge1:med,1470.559,76.61154,1478.784,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,edge1:med,1470.559,76.65059,1478.784,1,1760775549
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:med,1470.559,76.65059,1478.784,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:med,2315.240,118.96281,2323.465,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:med,2315.240,119.06893,2323.465,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,180.0,edge1:med,2315.240,119.10798,2323.465,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,220.0,edge1:med,2315.240,119.10798,2323.465,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,129.802,6.77839,138.428,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,129.802,6.66345,138.428,0,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,180.0,edge1:low,164.752,6.03225,174.397,0,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,64.0,220.0,edge1:low,167.650,6.03225,177.294,0,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,100.0,edge1:low,447.527,18.13047,457.172,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,356.022,20.03003,364.648,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,356.022,20.06908,364.648,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,356.022,20.06908,364.648,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,100.0,edge1:med,1499.645,76.72647,1508.271,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,140.0,edge1:med,1499.645,76.61154,1508.271,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,180.0,local:med,1575.547,119.76655,1583.350,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1024.0,220.0,edge1:med,1499.645,76.65059,1508.271,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,100.0,edge1:med,2349.967,118.96281,2358.594,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,140.0,edge1:med,2349.967,119.06893,2358.594,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,180.0,edge1:high,2279.168,166.75118,2289.191,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.600,1536.0,220.0,edge1:med,2349.967,119.10798,2358.594,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,172.049,6.77839,181.781,1,1760775550
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,172.049,6.66345,181.781,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,172.049,6.70251,181.781,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,64.0,220.0,edge1:low,217.459,6.03225,228.340,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,406.230,20.14496,415.962,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,406.230,20.03003,415.962,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,180.0,edge1:med,406.230,20.06908,415.962,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,256.0,220.0,edge1:med,406.230,20.06908,415.962,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1024.0,100.0,edge1:med,1548.287,76.72647,1558.019,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1024.0,140.0,edge1:med,1548.287,76.61154,1558.019,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1024.0,180.0,edge1:med,1548.287,76.65059,1558.019,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1024.0,220.0,edge1:low,1934.858,68.98553,1945.739,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1536.0,100.0,edge1:med,2398.894,118.96281,2408.626,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1536.0,140.0,edge1:med,2398.894,119.06893,2408.626,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1536.0,180.0,edge1:med,2398.894,119.10798,2408.626,1,1760775551
tenantA,app1,5.000,10.000,0.00000,0.500,0.900,1536.0,220.0,edge1:med,2398.894,119.10798,2408.626,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,64.0,100.0,edge1:med,161.219,6.97933,169.444,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,64.0,140.0,edge1:med,161.219,7.12462,169.444,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,64.0,180.0,edge1:med,161.219,7.16368,169.444,0,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,64.0,220.0,edge1:low,206.921,6.44731,216.117,0,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,256.0,100.0,edge1:med,389.854,20.48469,398.079,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,256.0,140.0,edge1:med,389.854,20.62998,398.079,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,256.0,180.0,edge1:med,389.854,20.66904,398.079,1,1760775551
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,256.0,220.0,edge1:med,389.854,20.66904,398.079,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1024.0,100.0,edge1:med,1518.061,77.10785,1526.286,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1024.0,140.0,edge1:low,1900.076,69.52783,1909.272,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1024.0,180.0,local:med,1594.730,120.76906,1602.533,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1024.0,220.0,cloud1:low,2134.145,60.86761,2144.630,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1536.0,100.0,edge1:med,2347.433,119.34418,2355.658,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1536.0,140.0,edge1:med,2347.433,119.71053,2355.658,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1536.0,180.0,edge1:med,2347.433,119.74958,2355.658,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.200,1536.0,220.0,edge1:med,2347.433,119.74958,2355.658,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,64.0,100.0,edge1:med,180.678,6.97933,189.305,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,64.0,140.0,edge1:med,180.678,7.12462,189.305,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,64.0,180.0,edge1:med,180.678,7.16368,189.305,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,64.0,220.0,edge1:med,182.996,7.16368,191.622,0,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,256.0,100.0,edge1:med,403.901,20.48469,412.527,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,256.0,140.0,edge1:med,403.901,20.62998,412.527,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,256.0,180.0,edge1:med,403.901,20.66904,412.527,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,256.0,220.0,edge1:high,391.484,28.93665,401.507,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1024.0,100.0,edge1:med,1547.394,77.10785,1556.020,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1024.0,140.0,edge1:med,1547.394,77.25314,1556.020,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1024.0,180.0,edge1:med,1547.394,77.29220,1556.020,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1024.0,220.0,cloud1:low,2174.249,60.86761,2184.734,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1536.0,100.0,edge1:med,2382.407,119.34418,2391.033,1,1760775552
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1536.0,140.0,edge1:med,2382.407,119.71053,2391.033,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1536.0,180.0,edge1:med,2382.407,119.74958,2391.033,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.600,1536.0,220.0,edge1:med,2382.407,119.74958,2391.033,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,64.0,100.0,edge1:med,234.760,6.97933,244.492,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,64.0,140.0,edge1:med,234.760,7.12462,244.492,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,64.0,180.0,edge1:med,234.760,7.16368,244.492,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,64.0,220.0,edge1:med,237.078,7.16368,246.810,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,256.0,100.0,edge1:med,465.944,20.48469,475.676,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,256.0,140.0,edge1:med,465.944,20.62998,475.676,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,256.0,180.0,edge1:med,465.944,20.66904,475.676,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,256.0,220.0,edge1:high,452.025,28.93665,463.333,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1024.0,100.0,edge1:med,1607.870,77.10785,1617.602,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1024.0,140.0,edge1:med,1607.870,77.25314,1617.602,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1024.0,180.0,edge1:med,1607.870,77.29220,1617.602,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1024.0,220.0,edge1:med,1607.870,77.29220,1617.602,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1536.0,100.0,edge1:med,2443.168,119.34418,2452.900,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1536.0,140.0,edge1:med,2443.168,119.71053,2452.900,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1536.0,180.0,edge1:med,2443.168,119.74958,2452.900,1,1760775553
tenantA,app1,5.000,10.000,0.00300,0.500,0.900,1536.0,220.0,edge1:high,2369.933,167.64942,2381.241,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,64.0,100.0,edge1:med,188.574,6.98413,196.799,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,64.0,140.0,edge1:med,188.574,7.12942,196.799,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,64.0,180.0,edge1:med,188.574,7.16848,196.799,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,64.0,220.0,edge1:med,190.892,7.16848,199.117,0,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,256.0,100.0,edge1:med,411.012,20.48948,419.237,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,256.0,140.0,edge1:med,411.012,20.63478,419.237,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,256.0,180.0,edge1:med,411.012,20.67383,419.237,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,256.0,220.0,edge1:med,411.012,20.67383,419.237,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1024.0,100.0,edge1:med,1568.402,77.11265,1576.627,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1024.0,140.0,cloud1:low,2202.972,60.84063,2213.456,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1024.0,180.0,edge1:med,1568.402,77.29700,1576.627,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1024.0,220.0,edge1:med,1568.402,77.29700,1576.627,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1536.0,100.0,edge1:med,2398.480,119.34897,2406.705,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1536.0,140.0,edge1:med,2398.480,119.71533,2406.705,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1536.0,180.0,edge1:med,2398.480,119.75438,2406.705,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.200,1536.0,220.0,edge1:med,2398.480,119.75438,2406.705,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,64.0,100.0,edge1:med,205.861,6.98413,214.487,1,1760775554
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,64.0,140.0,edge1:med,205.861,7.12942,214.487,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,64.0,180.0,edge1:med,205.861,7.16848,214.487,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,64.0,220.0,edge1:med,208.179,7.16848,216.805,0,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,256.0,100.0,edge1:med,423.366,20.48948,431.993,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,256.0,140.0,edge1:high,410.365,28.88869,420.388,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,256.0,180.0,edge1:med,423.366,20.67383,431.993,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,256.0,220.0,edge1:med,423.366,20.67383,431.993,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1024.0,100.0,edge1:med,1596.042,77.11265,1604.668,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1024.0,140.0,edge1:med,1596.042,77.25794,1604.668,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1024.0,180.0,edge1:med,1596.042,77.29700,1604.668,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1024.0,220.0,local:med,1675.960,120.77656,1683.763,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1536.0,100.0,local:med,2543.024,186.48277,2550.827,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1536.0,140.0,edge1:med,2428.423,119.71533,2437.049,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1536.0,180.0,edge1:med,2428.423,119.75438,2437.049,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.600,1536.0,220.0,edge1:med,2428.423,119.75438,2437.049,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,64.0,100.0,edge1:med,256.822,6.98413,266.554,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,64.0,140.0,edge1:med,256.822,7.12942,266.554,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,64.0,180.0,edge1:med,256.822,7.16848,266.554,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,64.0,220.0,edge1:med,259.140,7.16848,268.872,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,256.0,100.0,edge1:med,480.992,20.48948,490.724,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,256.0,140.0,edge1:med,480.992,20.63478,490.724,1,1760775555
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,256.0,180.0,edge1:high,466.622,28.94337,477.930,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,256.0,220.0,edge1:med,480.992,20.67383,490.724,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1024.0,100.0,edge1:med,1652.101,77.11265,1661.833,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1024.0,140.0,edge1:med,1652.101,77.25794,1661.833,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1024.0,180.0,edge1:med,1652.101,77.29700,1661.833,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1024.0,220.0,edge1:low,2064.626,69.56730,2075.507,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1536.0,100.0,edge1:med,2484.766,119.34897,2494.498,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1536.0,140.0,edge1:med,2484.766,119.71533,2494.498,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1536.0,180.0,edge1:med,2484.766,119.75438,2494.498,1,1760775556
tenantA,app1,5.000,10.000,0.01000,0.500,0.900,1536.0,220.0,edge1:med,2484.766,119.75438,2494.498,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,100.0,edge1:med,138.942,6.80667,147.167,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,140.0,edge1:med,138.942,6.69173,147.167,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,cloud1:low,248.632,5.30049,259.117,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,edge1:low,179.075,6.05771,188.271,0,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,356.635,20.17324,364.860,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,edge1:med,356.635,20.05830,364.860,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,356.635,20.09736,364.860,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,356.635,20.09736,364.860,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,edge1:med,1487.941,76.75475,1496.166,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,edge1:med,1487.941,76.63981,1496.166,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,edge1:med,1487.941,76.67887,1496.166,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,edge1:med,1487.941,76.67887,1496.166,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,edge1:low,2918.849,107.09198,2928.045,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,edge1:med,2333.079,119.09722,2341.304,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,edge1:med,2333.079,119.13627,2341.304,1,1760775556
tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,edge1:med,2333.079,119.13627,2341.304,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,154.050,6.80667,162.676,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,154.050,6.69173,162.676,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,edge1:med,154.050,6.73078,162.676,0,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,edge1:low,197.959,6.05771,207.604,0,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,edge1:med,367.296,20.17324,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,367.296,20.05830,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,367.296,20.09736,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,367.296,20.09736,375.922,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,cloud1:low,2128.440,60.44436,2138.925,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,edge1:med,1513.888,76.63981,1522.514,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,cloud1:low,2128.440,60.38461,2138.925,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,edge1:med,1513.888,76.67887,1522.514,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,edge1:med,2364.667,118.99109,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,edge1:med,2364.667,119.09722,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,edge1:med,2364.667,119.13627,2373.293,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,edge1:low,2958.333,107.22264,2967.978,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,197.352,6.80667,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,197.352,6.69173,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,197.352,6.73078,207.084,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,edge1:high,193.739,9.42310,205.047,0,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,418.268,20.17324,428.000,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,418.268,20.05830,428.000,1,1760775557
tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,edge1:med,418.268,20.09736,428.000,1,1760775557
