policy,tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,edge1:med,111.555,6.77839,119.780,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,edge1:high,107.908,9.48974,117.465,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,local:med,129.620,10.59123,137.423,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,edge1:med,111.555,6.77839,119.780,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,100.0,cloud1:low,211.189,5.33798,221.673,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,edge1:med,111.555,6.66345,119.780,0,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,edge1:high,107.908,9.32883,117.465,0,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,local:med,129.620,10.41164,137.423,0,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,edge1:med,111.555,6.66345,119.780,0,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,140.0,cloud1:low,211.189,5.24747,221.673,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,edge1:low,141.944,6.03225,151.140,0,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,edge1:high,107.908,9.38351,117.465,0,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,local:med,129.620,10.47266,137.423,0,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,edge1:med,111.555,6.70251,119.780,0,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,180.0,cloud1:low,211.189,5.27822,221.673,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,edge1:low,144.841,6.03225,154.037,0,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,edge1:high,110.157,9.38351,119.713,0,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,local:med,132.034,10.47266,139.837,0,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,edge1:med,113.873,6.70251,122.098,0,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,64.0,220.0,cloud1:low,214.357,5.27822,224.842,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,342.222,20.14496,350.447,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,edge1:high,331.655,28.20295,341.212,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,local:med,369.898,31.47650,377.701,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,342.222,20.14496,350.447,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,100.0,cloud1:low,526.553,15.86416,537.038,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,edge1:med,342.222,20.03003,350.447,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,edge1:high,331.655,28.04204,341.212,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,local:med,369.898,31.29692,377.701,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,edge1:med,342.222,20.03003,350.447,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,140.0,cloud1:low,526.553,15.77365,537.038,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,342.222,20.06908,350.447,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,edge1:high,331.655,28.09671,341.212,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,local:med,369.898,31.35794,377.701,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,342.222,20.06908,350.447,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,180.0,cloud1:low,526.553,15.80440,537.038,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,342.222,20.06908,350.447,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,edge1:high,331.655,28.09671,341.212,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,local:med,369.898,31.35794,377.701,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,342.222,20.06908,350.447,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,256.0,220.0,cloud1:low,526.553,15.80440,537.038,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,edge1:high,1426.142,107.41706,1435.699,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,edge1:high,1426.142,107.41706,1435.699,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,local:med,1545.249,119.88511,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,edge1:med,1470.559,76.72647,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,100.0,cloud1:low,2069.202,60.42210,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,edge1:high,1426.142,107.25615,1435.699,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,edge1:high,1426.142,107.25615,1435.699,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,local:med,1545.249,119.70552,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,edge1:med,1470.559,76.61154,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,140.0,cloud1:low,2069.202,60.33158,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,local:med,1545.249,119.76655,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,edge1:med,1470.559,76.65059,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,180.0,cloud1:low,2069.202,60.36234,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1426.142,107.31083,1435.699,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,local:med,1545.249,119.76655,1553.052,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,edge1:med,1470.559,76.65059,1478.784,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1024.0,220.0,cloud1:low,2069.202,60.36234,2079.687,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2245.483,166.54793,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2245.483,166.54793,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,local:med,2425.125,185.87938,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,edge1:med,2315.240,118.96281,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,100.0,cloud1:low,3224.039,93.68321,3234.524,1,1760776592
CSN,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2245.483,166.69651,2255.040,1,1760776592
GreedyLatency,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2245.483,166.69651,2255.040,1,1760776592
AlwaysLocal,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,local:med,2425.125,186.04521,2432.928,1,1760776592
AlwaysEdgeMed,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,edge1:med,2315.240,119.06893,2323.465,1,1760776592
AlwaysCloudLow,tenantA,app1,5.000,10.000,0.00000,0.500,0.200,1536.0,140.0,cloud1:low,3224.039,93.76678,3234.524,1,1760776592
